Name,Age,Met
NGC6715,10.75,-1.25
Terzan7,7.3,-0.56
Terzan8,12.16,-1.80
Arp2,10.88,-1.45
Pal12,8.83,-0.83
NGC4147,11.39,-1.50
Berk29,4.5,-0.44
Saurer1,5.0,-0.38
Whiting1,6.5,-0.65
AM4,9.0,-0.97
NGC5634,11.84,-1.94
Rup106,10.2,-1.49
NGC0104,13.06,-0.78
NGC0288,10.62,-1.14
NGC0362,10.37,-1.09
NGC1261,10.24,-1.08
NGC2419,12.3,-2.14
NGC3201,10.24,-1.24
NGC4372,12.54,-1.88
NGC4833,12.54,-1.71
NGC5024,12.67,-1.86
NGC5053,12.29,-1.98
NGC5139,11.52,-1.35
NGC5272,11.39,-1.34
NGC5286,12.54,-1.41
NGC5466,13.57,-2.20
NGC5694,13.44,-1.74
NGC5824,12.80,-1.60
NGC5897,12.3,-1.73
NGC5904,10.62,-1.12
NGC5927,12.67,-0.64
NGC5946,11.39,-1.22
NGC5986,12.16,-1.35
NGC6093,12.54,-1.47
NGC6101,12.54,-1.76
NGC6121,12.54,-1.05
NGC6144,13.82,-1.56
NGC6171,13.95,-0.95
NGC6205,11.65,-1.33
NGC6218,12.67,-1.14
NGC6235,11.39,-1.18
NGC6254,11.39,-1.25
NGC6266,11.78,-1.02
NGC6273,11.90,-1.53
NGC6284,11.14,-1.13
NGC6287,13.57,-1.91
NGC6304,13.57,-0.66
NGC6341,13.18,-2.16
NGC6342,12.03,-0.69
NGC6352,12.67,-0.70
NGC6362,13.57,-0.99
NGC6366,13.31,-0.73
NGC6388,12.03,-0.77
NGC6397,12.67,-1.76
NGC6426,12.9,-2.11
NGC6441,11.26,-0.60
NGC6496,12.42,-0.70
NGC6535,10.50,-1.51
NGC6541,12.93,-1.53
NGC6544,10.37,-1.20
NGC6584,11.26,-1.30
NGC6624,12.54,-0.70
NGC6637,13.06,-0.78
NGC6652,12.93,-0.97
NGC6656,12.67,-1.49
NGC6681,12.80,-1.35
NGC6712,10.4,-0.94
NGC6717,13.18,-1.09
NGC6723,13.06,-0.96
NGC6752,11.78,-1.24
NGC6779,13.70,-2.00
NGC6809,12.29,-1.54
NGC6838,13.70,-0.73
NGC6864,9.98,-1.03
NGC6934,11.14,-1.32
NGC6981,10.88,-1.21
NGC7078,12.93,-2.02
NGC7089,11.78,-1.31
NGC7099,12.93,-1.92
NGC7492,12.0,-1.41
Pal3,9.7,-1.39
Pal4,9.5,-1.07
Pal5,9.8,-1.24
Pal14,10.5,-1.36
AM1,11.1,-1.47
E3,12.80,-0.83
Eridanus,8.9,-1.20
Lynga7,14.46,-0.64
