Name,Fe_H_D16,Fe_H_D16_err,Fe_H_S12,Fe_H_S12_err,Fe_H_V15,Fe_H_V15_err, Fe_H_C09
BH176,,,,,-0.12,0.22,-0.08,0.04,0.00
Djorg1,-1.36,0.14,-1.48,0.15,-1.39,0.21,-1.54,0.13,-1.51
Djorg2,-0.97,0.13,-1.09,0.15,-1.07,0.21,-0.79,0.09,-0.65
NGC5634,-1.83,0.12,-1.89,0.13,-1.83,0.20,-1.75,0.06,-1.88
NGC5694,-2.08,0.11,-2.11,0.13,-2.12,0.20,-1.98,0.06,-1.98
NGC5946,-1.46,0.13,-1.57,0.14,-1.48,0.21,-1.54,0.07,-1.29
NGC6256,-1.51,0.14,-1.61,0.14,-1.53,0.21,-1.05,0.13,-1.02
NGC6284,-1.10,0.12,-1.22,0.14,-1.18,0.20,-1.07,0.06,-1.26
NGC6316,-0.35,0.14,-0.37,0.17,-0.63,0.21,-0.50,0.06,-0.45
NGC6352,-0.50,0.12,-0.56,0.14,-0.73,0.20,-0.54,0.04,-0.64
NGC6355,-1.49,0.14,-1.59,0.15,-1.51,0.21,-1.46,0.06,-1.37
NGC6366,-0.72,0.12,-0.81,0.14,-0.88,0.20,-0.61,0.05,-0.59
NGC6401,-1.18,0.14,-1.30,0.15,-1.24,0.21,-1.12,0.07,-1.02
NGC6426,-2.34,0.11,-2.38,0.13,-2.45,0.20,-2.39,0.04,-2.15
NGC6453,-1.57,0.12,-1.67,0.13,-1.58,0.20,-1.54,0.09,-1.50
NGC6517,-1.53,0.12,-1.63,0.13,-1.55,0.20,-1.26,0.13,-1.23
NGC6539,-0.59,0.12,-0.67,0.14,-0.80,0.20,-0.55,0.06,-0.63
NGC6749,-1.54,0.11,-1.64,0.13,-1.56,0.20,-1.59,0.09,-1.60
NGC6864,-1.02,0.12,-1.14,0.14,-1.11,0.20,-1.00,0.05,-1.29
Pal10,-0.27,0.16,-0.27,0.19,-0.57,0.21,-0.24,0.03,-0.10
Pal11,-0.42,0.13,-0.45,0.15,-0.67,0.20,-0.35,0.05,-0.40
Pal14,-1.29,0.13,-1.41,0.14,-1.33,0.21,-1.22,0.09,-1.62
Pal6,-0.59,0.14,-0.66,0.16,-0.79,0.21,-0.85,0.11,-0.91
Terzan1,-0.74,0.18,-0.84,0.21,-0.90,0.23,-1.06,0.13,-1.03
Terzan2,-0.42,0.18,-0.46,0.22,-0.68,0.22,-0.72,0.13,-0.69
Terzan8,-2.12,0.11,-2.15,0.13,-2.17,0.20,-2.06,0.04,-2.16
Terzan9,-1.08,0.14,-1.21,0.15,-1.16,0.21,-1.08,0.13,-1.05
Ton2,-0.26,0.15,-0.26,0.19,-0.57,0.21,-0.73,0.13,-0.70
Pyxis,-1.34,0.13,-1.45,0.14,-1.37,0.20,-1.40,0.13,-1.20
NGC2808,-1.01,0.11,-1.13,0.13,-1.10,0.20,-1.06,0.05,-1.14
Rup106,-1.66,0.12,-1.74,0.13,-1.66,0.20,-1.54,0.04,-1.68
NGC5824,-1.97,0.11,-2.01,0.13,-1.99,0.20,-1.99,0.03,-1.91
Lynga7,-0.51,0.13,-0.57,0.15,-0.74,0.20,-0.61,0.10,-1.01
NGC6139,-1.53,0.11,-1.63,0.13,-1.55,0.20,-1.58,0.07,-1.65
Terzan3,-0.96,0.13,-1.08,0.14,-1.07,0.20,-1.01,0.08,-0.74
NGC6325,-1.29,0.12,-1.41,0.13,-1.33,0.20,-1.38,0.10,-1.25
NGC6356,-0.45,0.11,-0.49,0.13,-0.69,0.20,-0.55,0.04,-0.40
HP1,-1.20,0.13,-1.32,0.14,-1.26,0.20,-1.17,0.07,-1.00
NGC6380,-0.44,0.14,-0.48,0.16,-0.69,0.20,-0.47,0.14,-0.75
NGC6440,-0.26,0.13,-0.25,0.16,-0.56,0.20,-0.24,0.05,-0.36
NGC6441,-0.47,0.14,-0.52,0.16,-0.71,0.20,-0.41,0.07,-0.46
NGC6558,-0.91,0.12,-1.03,0.14,-1.03,0.20,-1.01,0.05,-1.32
Pal7,-0.37,0.12,-0.39,0.14,-0.64,0.20,-0.56,0.05,-0.75
NGC6569,-0.91,0.14,-1.02,0.16,-1.03,0.21,-0.66,0.07,-0.76
NGC6656,-1.74,0.11,-1.81,0.13,-1.74,0.20,-1.92,0.02,-1.70
NGC6715,-1.65,0.11,-1.74,0.13,-1.66,0.20,-1.31,0.04,-1.49
Terzan7,-0.21,0.12,-0.19,0.13,-0.53,0.20,-0.23,0.10,-0.32
NGC7006,-1.56,0.11,-1.65,0.13,-1.57,0.20,-1.69,0.09,-1.52
