Name, Fe, M_v_t
NGC104,-0.72,-9.42
NGC288,-1.32,-6.75
NGC362,-1.26,-8.43
Whiting1,-0.70,-2.46
NGC1261,-1.27,-7.80
Pal1,-0.65,-2.52
AM1,-1.70,-4.73
Eridanus,-1.43,-5.13
Pal2,-1.42,-7.97
NGC1851,-1.18,-8.33
NGC1904,-1.60,-7.86
NGC2298,-1.92,-6.31
NGC2419,-2.15,-9.42
Ko2,-,-0.35
Pyxis,-1.20,-5.73
NGC2808,-1.14,-9.39
E3,-0.83,-4.12
Pal3,-1.63,-5.69
NGC3201,-1.59,-7.45
Pal4,-1.41,-6.01
Ko1,-,-1.35
NGC4147,-1.80,-6.17
NGC4372,-2.17,-7.79
Rup106,-1.68,-6.35
NGC4590,-2.23,-7.37
NGC4833,-1.85,-8.17
NGC5024,-2.10,-8.71
NGC5053,-2.27,-6.76
NGC5139,-1.53,-10.26
NGC5272,-1.50,-8.88
NGC5286,-1.69,-8.74
AM4,-1.30,-1.81
NGC5466,-1.98,-6.98
NGC5634,-1.88,-7.69
NGC5694,-1.98,-7.83
IC4499,-1.53,-7.32
NGC5824,-1.91,-8.85
Pal5,-1.41,-5.17
NGC5897,-1.90,-7.23
NGC5904,-1.29,-8.81
NGC5927,-0.49,-7.81
NGC5946,-1.29,-7.18
BH176,0.00,-4.06
NGC5986,-1.59,-8.44
Lynga7,-0.67,-6.60
Pal14,-1.62,-4.80
NGC6093,-1.75,-8.23
NGC6121,-1.16,-7.19
NGC6101,-1.98,-6.94
NGC6144,-1.76,-6.85
NGC6139,-1.65,-8.36
Terzan3,-0.74,-4.82
NGC6171,-1.02,-7.12
1636-283,-1.50,-4.02
NGC6205,-1.53,-8.55
NGC6229,-1.47,-8.06
NGC6218,-1.37,-7.31
FSR1735,-,-6.45
NGC6235,-1.28,-6.29
NGC6254,-1.56,-7.48
NGC6256,-1.02,-7.15
Pal15,-2.07,-5.51
NGC6266,-1.18,-9.18
NGC6273,-1.74,-9.13
NGC6284,-1.26,-7.96
NGC6287,-2.10,-7.36
NGC6293,-1.99,-7.78
NGC6304,-0.45,-7.30
NGC6316,-0.45,-8.34
NGC6341,-2.31,-8.21
NGC6325,-1.25,-6.96
NGC6333,-1.77,-7.95
NGC6342,-0.55,-6.42
NGC6356,-0.40,-8.51
NGC6355,-1.37,-8.07
NGC6352,-0.64,-6.47
IC1257,-1.70,-6.15
Terzan2,-0.69,-5.88
NGC6366,-0.59,-5.74
Terzan4,-1.41,-4.48
HP1,-1.00,-6.46
NGC6362,-0.99,-6.95
Liller1,-0.33,-7.32
NGC6380,-0.75,-7.50
Terzan1,-1.03,-4.41
Ton2,-0.70,-6.17
NGC6388,-0.55,-9.41
NGC6402,-1.28,-9.10
NGC6401,-1.02,-7.90
NGC6397,-2.02,-6.64
Pal6,-0.91,-6.79
NGC6426,-2.15,-6.67
Djorg1,-1.51,-6.98
Terzan5,-0.23,-7.42
NGC6440,-0.36,-8.75
NGC6441,-0.46,-9.63
Terzan6,-0.56,-7.59
NGC6453,-1.50,-7.22
UKS1,-0.64,-6.91
NGC6496,-0.46,-7.20
Terzan9,-1.05,-3.71
Djorg2,-0.65,-7.00
NGC6517,-1.23,-8.25
Terzan10,-1.00,-6.35
NGC6522,-1.34,-7.65
NGC6535,-1.79,-4.75
NGC6528,-0.11,-6.57
NGC6539,-0.63,-8.29
NGC6540,-1.35,-6.35
NGC6544,-1.40,-6.94
NGC6541,-1.81,-8.52
2MS-GC01,-,-6.11
ESO-SC06,-1.80,-4.87
NGC6553,-0.18,-7.77
2MS-GC02,-1.08,-4.86
NGC6558,-1.32,-6.44
IC1276,-0.75,-6.67
Terzan12,-0.50,-4.14
NGC6569,-0.76,-8.28
BH261,-1.30,-4.19
GLIMPSE02,-0.33,-
NGC6584,-1.50,-7.69
NGC6624,-0.44,-7.49
NGC6626,-1.32,-8.16
NGC6638,-0.95,-7.12
NGC6637,-0.64,-7.64
NGC6642,-1.26,-6.66
NGC6652,-0.81,-6.66
NGC6656,-1.70,-8.50
Pal8,-0.37,-5.51
NGC6681,-1.62,-7.12
GLIMPSE01,-,-5.91
NGC6712,-1.02,-7.50
NGC6715,-1.49,-9.98
NGC6717,-1.26,-5.66
NGC6723,-1.10,-7.83
NGC6749,-1.60,-6.70
NGC6752,-1.54,-7.73
NGC6760,-0.40,-7.84
NGC6779,-1.98,-7.41
Terzan7,-0.32,-5.01
Pal10,-0.10,-5.79
Arp2,-1.75,-5.29
NGC6809,-1.94,-7.57
Terzan8,-2.16,-5.07
Pal11,-0.40,-6.92
NGC6838,-0.78,-5.61
NGC6864,-1.29,-8.57
NGC6934,-1.47,-7.45
NGC6981,-1.42,-7.04
NGC7006,-1.52,-7.67
NGC7078,-2.37,-9.19
NGC7089,-1.65,-9.03
NGC7099,-2.27,-7.45
Pal12,-0.85,-4.47
Pal13,-1.88,-3.76
NGC7492,-1.78,-5.81
