Name,MV,logM,Age,Age_Err,Fe_H
NGC104,-9.42,6,12.52,0.49,-0.75
NGC288,-6.75,4.93,11.54,0.43,-1.29
NGC362,-8.43,5.61,10.87,0.42,-1.23
NGC1261,-7.8,5.35,10.83,0.42,-1.23
NGC1851,-8.33,5.57,10.49,0.58,-1.1
NGC1904,-7.86,5.38,11.14,0.9,-1.37
NGC2298,-6.31,4.76,12.84,0.59,-1.8
NGC2419,-9.42,6,12.65,0.71,-2.07
NGC2808,-9.39,5.99,10.9,0.57,-1.14
NGC3201,-7.45,5.21,11.25,0.45,-1.42
NGC4147,-6.17,4.7,12.13,0.46,-1.66
NGC4372,-7.79,5.35,12.54,0.9,-1.88
NGC4590,-7.37,5.18,12.17,0.51,-2.19
NGC4833,-8.17,5.5,12.68,0.6,-1.97
NGC5024,-8.71,5.72,12.72,0.44,-1.97
NGC5053,-6.76,4.94,12.68,0.47,-2.23
NGC5139,-10.26,6.34,11.52,0.64,-1.35
NGC5272,-8.88,5.79,11.88,0.42,-1.48
NGC5286,-8.74,5.73,12.68,0.52,-1.6
NGC5466,-6.98,5.03,13.02,0.48,-2.2
NGC5634,-7.69,5.31,11.84,0.51,-1.94
NGC5694,-7.83,5.37,13.44,0.9,-1.74
NGC5824,-8.85,5.77,12.8,0.9,-1.6
NGC5897,-7.23,5.13,12.3,1.2,-1.73
NGC5904,-8.81,5.76,11.46,0.44,-1.25
NGC5927,-7.81,5.36,11.89,0.53,-0.48
NGC5946,-7.18,5.11,11.39,0.9,-1.22
NGC5986,-8.44,5.61,12.55,0.56,-1.53
NGC6093,-8.23,5.53,13.02,0.56,-1.58
NGC6101,-6.94,5.01,12.6,0.53,-1.85
NGC6121,-7.19,5.11,12.18,0.45,-1.14
NGC6144,-6.85,4.97,13.36,0.54,-1.73
NGC6171,-7.12,5.08,12.9,0.55,-0.99
NGC6205,-8.55,5.65,12.22,0.43,-1.5
NGC6218,-7.31,5.16,12.97,0.47,-1.26
NGC6235,-6.29,4.75,11.39,0.9,-1.18
NGC6254,-7.48,5.23,12.05,0.57,-1.46
NGC6266,-9.18,5.91,11.78,0.9,-1.02
NGC6273,-9.13,5.89,11.9,0.9,-1.53
NGC6284,-7.96,5.42,11.14,0.9,-1.13
NGC6287,-7.36,5.18,13.57,0.9,-1.91
NGC6304,-7.3,5.15,12.52,0.55,-0.51
NGC6341,-8.21,5.52,13.06,0.51,-2.3
NGC6342,-6.42,4.8,12.03,0.9,-0.69
NGC6352,-6.47,4.82,12.14,0.49,-0.71
NGC6362,-6.95,5.01,12.86,0.44,-1.05
NGC6366,-5.74,4.53,12.1,0.71,-0.67
NGC6388,-9.41,6,12.03,1.02,-0.77
NGC6397,-6.64,4.89,13.06,0.42,-1.95
NGC6426,-6.67,4.9,12.95,0.9,-2.16
NGC6441,-9.63,6.09,11.26,0.9,-0.6
NGC6496,-7.2,5.11,11.72,0.53,-0.55
NGC6535,-4.75,4.13,12.17,0.63,-1.73
NGC6541,-8.52,5.64,12.89,0.53,-1.75
NGC6544,-6.94,5.01,10.37,0.9,-1.2
NGC6584,-7.69,5.31,11.75,0.47,-1.4
NGC6624,-7.49,5.23,12.26,0.54,-0.54
NGC6637,-7.64,5.29,12.19,0.53,-0.69
NGC6652,-6.66,4.9,12.48,0.46,-0.83
NGC6656,-8.5,5.63,12.67,0.64,-1.49
NGC6681,-7.12,5.08,12.77,0.48,-1.52
NGC6712,-7.5,5.23,10.4,1.4,-0.94
NGC6715,-9.98,6.23,11.25,0.59,-1.34
NGC6717,-5.66,4.5,12.89,0.5,-1.15
NGC6723,-7.83,5.37,12.77,0.44,-1.02
NGC6752,-7.73,5.33,12.26,0.46,-1.43
NGC6779,-7.41,5.2,13.32,0.54,-2.07
NGC6809,-7.57,5.26,12.93,0.51,-1.76
NGC6838,-5.61,4.48,12.4,0.55,-0.75
NGC6864,-8.57,5.66,9.98,0.51,-1.03
NGC6934,-7.45,5.21,11.63,0.46,-1.48
NGC6981,-7.04,5.05,11.71,0.43,-1.4
NGC7006,-7.67,5.3,12.25,0.75,-1.5
NGC7078,-9.19,5.91,12.98,0.51,-2.25
NGC7089,-9.03,5.85,12.01,0.46,-1.52
NGC7099,-7.45,5.21,13.06,0.52,-2.22
NGC7492,-5.81,4.56,12,1.4,-1.41
Pal1,-2.52,3.24,7.3,1.15,-0.7
Pal3,-5.69,4.51,10.5,0.7,-1.44
Pal4,-6.01,4.64,10.2,0.84,-1.18
Pal5,-5.17,4.3,10.9,0.86,-1.32
Pal12,-4.47,4.02,9.11,0.57,-0.81
Pal14,-4.8,4.15,10.5,0.56,-1.43
Pal15,-5.51,4.44,13,-1.5,2
Terzan7,-5.01,4.24,7.65,0.45,-0.58
Terzan8,-5.07,4.26,12.89,0.43,-2.18
AM1,-4.73,4.13,11.1,0.56,-1.48
AM4,-1.81,2.96,9,0.5,-0.97
Arp2,-5.29,4.35,11.96,0.51,-1.66
E3,-4.12,3.88,12.8,1.41,-0.83
Eridanus,-5.13,4.29,9.7,0.84,-1.25
IC4499,-7.32,5.16,12,0.75,-1.6
Lynga7,-6.6,4.87,13.48,1.03,-0.62
Pyxis,-5.73,4.53,11.5,1,-1.5
Rup106,-6.35,4.77,10.85,0.74,-1.5
Whiting1,-2.46,3.22,6.5,0.75,-0.65
